"Duration_MLA_B1_IncomeStatement","OrganizationID_MLA_B1_IncomeStatement","ParentOrganizationID_MLA_B1_IncomeStatement","IndustryType_MLA_B1_IncomeStatement","OrgType_MLA_B1_IncomeStatement","TaxStatus_MLA_B1_IncomeStatement","ReportingType_MLA_B1_IncomeStatement","CurrentRating_MLA_B1_IncomeStatement","ReportingYear_MLA_B1_IncomeStatement","ReportingRegion_MLA_B1_IncomeStatement","ReportingLocalRegion_MLA_B1_IncomeStatement","ProfitNonFinancial_Income","InterestReceivable_Income","InterestPayable_Income","NetInterestReceivable_Income","FeesReceivable_Income","ProfitsOnDealing_Income","Other_Income","Total_Income","StaffCosts_Expenditure","FeesPayable_Expenditure","Occupancy_Expenditure","OtherOperatingExpenses_Expenditure","OtherExpenses_Expenditure","Total_Expenditure","OperatingProfit_MLA_B1_IncomeStatement","Provisions_MLA_B1_IncomeStatement","Taxation_MLA_B1_IncomeStatement","MinorityInterests_MLA_B1_IncomeStatement","Profit_MLA_B1_IncomeStatement","Dividends_MLA_B1_IncomeStatement","RetainedProfit_MLA_B1_IncomeStatement"
"12.00","US3553Z","","SOF","INC","C","BOARD","Ba1","2017.00","USA","DE","2069521.76","0","0","0","0","4139043.52","0","6208565.29","0","0","0","0","5673323.6","5673323.6","535241.68","0","107048.34","62085.65","490279","24513.95","465765.05"
"12.00","US3554Z","","SOF","INC","C","BOARD","Ba1","2017.00","USA","DE","1882554.31","0","0","0","0","3765108.62","0","5647662.93","0","0","0","0","5132723.72","5132723.72","514939.21","0","102987.84","56476.63","468428","23421.4","445006.6"
"12.00","US3555Z","","SOF","INC","C","BOARD","Ba1","2017.00","USA","DE","1549017.36","0","0","0","0","3098034.72","0","4647052.08","0","0","0","0","4252538.98","4252538.98","394513.1","0","78902.62","46470.52","362081","18104.05","343976.95"
"12.00","US3577Z","","IND","INC","C","BOARD","Ba1","2017.00","USA","DE","1205886.62","0","0","0","0","2411773.25","0","3617659.87","0","0","0","0","2600699.37","2600699.37","1016960.5","0","203392.1","36176.6","849745","42487.25","807257.75"
"12.00","US3719Z","","IND","INC","C","BOARD","A1","2017.00","USA","DE","2198254.02","0","0","0","0","4396508.04","0","6594762.07","0","0","0","0","5885456.59","5885456.59","709305.47","0","141861.09","65947.62","633392","31669.6","601722.4"
"12.00","US3720Z","","IND","INC","C","BOARD","A1","2017.00","USA","DE","3775244.86","0","0","0","0","7550489.72","0","11325734.59","0","0","0","0","11294580.02","11294580.02","31154.57","0","6230.91","113257.35","138181","6909.05","131271.95"
"12.00","US3721Z","","IND","INC","C","BOARD","A1","2017.00","USA","DE","2296309.19","0","0","0","0","4592618.38","0","6888927.57","0","0","0","0","5794371.66","5794371.66","1094555.91","0","218911.18","68889.28","944534","47226.7","897307.3"
"12.00","US3722Z","","IND","INC","C","BOARD","A1","2017.00","USA","DE","393867.32","0","0","0","0","787734.65","0","1181601.97","0","0","0","0","538193.24","538193.24","643408.73","0","128681.75","11816.02","526543","26327.15","500215.85"
"12.00","US3732Z","","FIN","INC","C","BOARD","Ba1","2017.00","USA","DE","3011336.54","0","0","0","0","6022673.08","0","9034009.62","0","0","0","0","8324809.74","8324809.74","709199.88","0","141839.98","90340.1","657700","32885","624815"
"12.00","US3723Z","","IND","INC","C","BOARD","A1","2017.00","USA","DE","2907733","0","0","0","0","5815465.99","0","8723198.99","0","0","0","0","8015157.72","8015157.72","708041.26","0","141608.25","87231.99","653665","32683.25","620981.75"
"12.00","US3733Z","","FIN","INC","C","BOARD","Ba1","2017.00","USA","DE","2883645.13","0","0","0","0","5767290.26","0","8650935.39","0","0","0","0","8480813.33","8480813.33","170122.06","0","34024.41","86509.35","222607","11130.35","211476.65"
"12.00","US3737Z","","IND","INC","C","BOARD","C","2017.00","USA","DE","2474177.68","0","0","0","0","4948355.35","0","7422533.03","0","0","0","0","7337777.19","7337777.19","84755.84","0","16951.17","74225.33","142030","7101.5","134928.5"
"12.00","US3738Z","","IND","INC","C","BOARD","C","2017.00","USA","DE","3149732.14","0","0","0","0","6299464.28","0","9449196.43","0","0","0","0","8989926.38","8989926.38","459270.04","0","91854.01","94491.96","461908","23095.4","438812.6"
"12.00","US3739Z","","IND","INC","C","BOARD","C","2017.00","USA","DE","607629.42","0","0","0","0","1215258.84","0","1822888.26","0","0","0","0","957453.11","957453.11","865435.15","0","173087.03","18228.88","710577","35528.85","675048.15"
"12.00","US3740Z","","IND","INC","C","BOARD","C","2017.00","USA","DE","3423985.5","0","0","0","0","6847970.99","0","10271956.49","0","0","0","0","9321220.95","9321220.95","950735.54","0","190147.11","102719.56","863308","43165.4","820142.6"
"12.00","US3902Z","","SOF","INC","C","BOARD","A1","2017.00","USA","DE","4045889.05","0","0","0","0","8091778.1","0","12137667.15","0","0","0","0","11142725.49","11142725.49","994941.66","0","198988.33","121376.67","917330","45866.5","871463.5"
"12.00","US3903Z","","SOF","INC","C","BOARD","A1","2017.00","USA","DE","1174283.56","0","0","0","0","2348567.13","0","3522850.69","0","0","0","0","3200836.32","3200836.32","322014.37","0","64402.87","35228.51","292840","14642","278198"
"12.00","US3905Z","","SOF","INC","C","BOARD","A1","2017.00","USA","DE","2285900.21","0","0","0","0","4571800.41","0","6857700.62","0","0","0","0","6129265.63","6129265.63","728434.99","0","145687","68577.01","651325","32566.25","618758.75"
"12.00","US3907Z","","FIN","INC","C","BOARD","C","2017.00","USA","DE","819941.92","0","0","0","0","1639883.83","0","2459825.75","0","0","0","0","2178942.32","2178942.32","280883.43","0","56176.69","24598.26","249305","12465.25","236839.75"
"12.00","US3908Z","","FIN","INC","C","BOARD","C","2017.00","USA","DE","1662800.97","0","0","0","0","3325601.94","0","4988402.91","0","0","0","0","3980465.45","3980465.45","1007937.46","0","201587.49","49884.03","856234","42811.7","813422.3"
"12.00","US3910Z","","FIN","INC","C","BOARD","C","2017.00","USA","DE","1964575.06","0","0","0","0","3929150.13","0","5893725.19","0","0","0","0","4951594.25","4951594.25","942130.94","0","188426.19","58937.25","812642","40632.1","772009.9"
"12.00","US3911Z","","FIN","INC","C","BOARD","C","2017.00","USA","DE","1645083.23","0","0","0","0","3290166.46","0","4935249.69","0","0","0","0","3969201.56","3969201.56","966048.13","0","193209.63","49352.5","822191","41109.55","781081.45"
"12.00","US3936Z","","SOF","INC","C","BOARD","C","2017.00","USA","DE","993672.54","0","0","0","0","1987345.07","0","2981017.61","0","0","0","0","2174579.08","2174579.08","806438.53","0","161287.71","29810.18","674961","33748.05","641212.95"
"12.00","US3988Z","","FIN","INC","C","BOARD","A1","2017.00","USA","DE","1440286.86","0","0","0","0","2880573.73","0","4320860.59","0","0","0","0","4119568.85","4119568.85","201291.74","0","40258.35","43208.61","204242","10212.1","194029.9"
"12.00","US4120Z","","FIN","INC","C","BOARD","C","2017.00","USA","DE","773060.59","0","0","0","0","1546121.19","0","2319181.78","0","0","0","0","1281752.8","1281752.8","1037428.98","0","207485.8","23191.82","853135","42656.75","810478.25"
"12.00","US4121Z","","FIN","INC","C","BOARD","C","2017.00","USA","DE","1127470.78","0","0","0","0","2254941.57","0","3382412.35","0","0","0","0","2570831.26","2570831.26","811581.1","0","162316.22","33824.12","683089","34154.45","648934.55"
"12.00","US4122Z","","FIN","INC","C","BOARD","C","2017.00","USA","DE","1404101.21","0","0","0","0","2808202.41","0","4212303.62","0","0","0","0","3780851.16","3780851.16","431452.45","0","86290.49","42123.04","387285","19364.25","367920.75"
"12.00","US4227Z","","SOF","INC","C","BOARD","Ba1","2017.00","USA","DE","482638.67","0","0","0","0","965277.33","0","1447916","0","0","0","0","1056269.95","1056269.95","391646.05","0","78329.21","14479.16","327796","16389.8","311406.2"
"12.00","US4253Z","","IND","INC","C","BOARD","A1","2017.00","USA","DE","329313","0","0","0","0","658625.99","0","987938.99","0","0","0","0","399470.73","399470.73","588468.26","0","117693.65","9879.39","480654","24032.7","456621.3"
"12.00","US4254Z","","IND","INC","C","BOARD","A1","2017.00","USA","DE","2216283.55","0","0","0","0","4432567.11","0","6648850.66","0","0","0","0","6131752.54","6131752.54","517098.12","0","103419.62","66488.51","480167","24008.35","456158.65"
"12.00","US4315Z","","FIN","INC","C","BOARD","A1","2017.00","USA","DE","2681746.87","0","0","0","0","5363493.73","0","8045240.6","0","0","0","0","7245432.36","7245432.36","799808.24","0","159961.65","80452.41","720299","36014.95","684284.05"
"12.00","US4317Z","","FIN","INC","C","BOARD","A1","2017.00","USA","DE","1771060.1","0","0","0","0","3542120.2","0","5313180.29","0","0","0","0","4417075.05","4417075.05","896105.25","0","179221.05","53131.8","770016","38500.8","731515.2"
"12.00","US4326Z","","SOF","INC","C","BOARD","A1","2017.00","USA","DE","418124.2","0","0","0","0","836248.41","0","1254372.61","0","0","0","0","52417.27","52417.27","1201955.34","0","240391.07","12543.73","974108","48705.4","925402.6"
"12.00","US4327Z","","SOF","INC","C","BOARD","A1","2017.00","USA","DE","2167324.28","0","0","0","0","4334648.56","0","6501972.84","0","0","0","0","5740248.76","5740248.76","761724.09","0","152344.82","65019.73","674399","33719.95","640679.05"
"12.00","US4328Z","","SOF","INC","C","BOARD","A1","2017.00","USA","DE","1653134.79","0","0","0","0","3306269.59","0","4959404.38","0","0","0","0","4450545.69","4450545.69","508858.7","0","101771.74","49594.04","456681","22834.05","433846.95"
"12.00","US4344Z","","SOF","INC","C","BOARD","C","2017.00","USA","DE","2119984.66","0","0","0","0","4239969.33","0","6359953.99","0","0","0","0","5780549.66","5780549.66","579404.33","0","115880.87","63599.54","527123","26356.15","500766.85"
"12.00","US4345Z","","SOF","INC","C","BOARD","C","2017.00","USA","DE","2346148.67","0","0","0","0","4692297.35","0","7038446.02","0","0","0","0","6335471.6","6335471.6","702974.42","0","140594.88","70384.46","632764","31638.2","601125.8"
"12.00","US4353Z","","IND","INC","C","BOARD","C","2017.00","USA","DE","1245752.91","0","0","0","0","2491505.83","0","3737258.74","0","0","0","0","2822611.97","2822611.97","914646.77","0","182929.35","37372.59","769090","38454.5","730635.5"
"12.00","US4467Z","","IND","INC","C","BOARD","Ba1","2017.00","USA","DE","1903437.98","0","0","0","0","3806875.96","0","5710313.94","0","0","0","0","4970772.87","4970772.87","739541.08","0","147908.22","57103.14","648736","32436.8","616299.2"
"12.00","US4468Z","","IND","INC","C","BOARD","Ba1","2017.00","USA","DE","4140375.31","0","0","0","0","8280750.61","0","12421125.92","0","0","0","0","12188642.49","12188642.49","232483.43","0","46496.69","124211.26","310198","15509.9","294688.1"
"12.00","US4480Z","","FIN","INC","C","BOARD","Ba1","2017.00","USA","DE","720103.26","0","0","0","0","1440206.53","0","2160309.79","0","0","0","0","1501164.91","1501164.91","659144.88","0","131828.98","21603.1","548919","27445.95","521473.05"
