IndustryType_MLA_B1_IncomeStatement,OrgType_MLA_B1_IncomeStatement,CurrentRating_MLA_B1_IncomeStatement,ReportingYear_MLA_B1_IncomeStatement,ReportingRegion_MLA_B1_IncomeStatement,ReportingLocalRegion_MLA_B1_IncomeStatement,ProfitNonFinancial_Income,ProfitsOnDealing_Income,Total_Income,OtherExpenses_Expenditure,Total_Expenditure,OperatingProfit_MLA_B1_IncomeStatement,Taxation_MLA_B1_IncomeStatement,MinorityInterests_MLA_B1_IncomeStatement,Profit_MLA_B1_IncomeStatement,Dividends_MLA_B1_IncomeStatement,RetainedProfit_MLA_B1_IncomeStatement
IND,LLC,Ba1,2017,USA,DE,978075.0,6479865.0,333918.0,12860991.0,8133542.0,1192863.0,87998.44,49984.02,425116,43159.63,834478.0
SOF,INC,C,2017,USA,DE,151266.0,10865842.0,3411097.0,13606740.0,907337.0,574834.0,65775.23,4114.72,928287,35966.87,792489.0
SOF,LLC,Ba1,2019,USA,DE,1936372.0,10269843.0,780732.0,6138228.0,9588308.0,836247.0,5337.73,107419.64,736185,35356.43,766808.0
SOF,LLC,C,2017,USA,DE,1674488.0,5848110.0,2990388.0,6478972.0,7642587.0,103905.0,184687.35,50396.92,442130,7283.1,514846.0
FIN,LLC,C,2020,USA,DE,1202154.0,10608393.0,9450674.0,15528380.0,8836094.0,589255.0,35342.53,88792.37,501017,33111.6,934159.0
SOF,LLC,C,2020,USA,DE,697794.0,4967891.0,4285777.0,8522638.0,11104981.0,934778.0,162216.36,66096.91,995317,12252.38,379945.0
FIN,INC,Ba1,2017,USA,DE,1402874.0,9227260.0,4325094.0,10140973.0,14684945.0,747312.0,5419.63,10099.65,106306,47918.28,926739.0
FIN,INC,A1,2017,USA,DE,2832046.0,6764722.0,6580893.0,10886351.0,16119572.0,1121505.0,199299.19,13932.73,376106,49910.55,129178.0
SOF,INC,A1,2020,USA,DE,365551.0,5551845.0,3902025.0,4836683.0,12719123.0,1199725.0,236433.58,38156.89,927544,16667.76,924905.0
SOF,INC,Ba1,2017,USA,DE,982068.0,6191584.0,7642443.0,8503805.0,9755611.0,102282.0,155594.83,39389.84,140905,20956.78,815203.0
SOF,INC,C,2017,USA,DE,163950.0,5585559.0,1840871.0,11296093.0,5064803.0,1043166.0,128948.1,71305.25,988707,46636.54,948839.0
