IndustryType_MLA_B1_IncomeStatement,OrgType_MLA_B1_IncomeStatement,CurrentRating_MLA_B1_IncomeStatement,ReportingYear_MLA_B1_IncomeStatement,ReportingRegion_MLA_B1_IncomeStatement,ReportingLocalRegion_MLA_B1_IncomeStatement,ProfitNonFinancial_Income,ProfitsOnDealing_Income,Total_Income,OtherExpenses_Expenditure,Total_Expenditure,OperatingProfit_MLA_B1_IncomeStatement,Taxation_MLA_B1_IncomeStatement,MinorityInterests_MLA_B1_IncomeStatement,Profit_MLA_B1_IncomeStatement,Dividends_MLA_B1_IncomeStatement,RetainedProfit_MLA_B1_IncomeStatement
FIN,LLC,Ba1,2019,USA,DE,2420969,5739321,4564413,44140,4467887,637326,174796.14,43458.25,910097,9370.03,888426
FIN,INC,Ba1,2017,USA,DE,609233,1442646,3498785,4495782,16240297,560738,169901.81,19227.24,564496,9518.38,876951
FIN,LLC,A1,2020,USA,DE,289030,319481,6291812,6263732,5190124,445764,183269.49,18941.7,998314,8028.32,916099
SOF,LLC,C,2020,USA,DE,847407,3136403,2094639,3255118,8830041,416632,169243.09,12742.41,445811,15526.39,642728
IND,LLC,C,2017,USA,DE,1557831,2381071,4781187,708508,9410142,1048825,239267.84,12421.96,995407,27930.91,923686
IND,INC,A1,2017,USA,DE,1405295,1728176,14134743,172262,6390323,976826,156687.17,12826.43,105184,25890.25,439032
IND,LLC,A1,2018,USA,DE,1028490,1152966,6828448,5616863,1793613,779862,151901.07,17736.04,998475,5129.95,156852
FIN,INC,A1,2017,USA,DE,1622158,1891805,1797370,1288959,1299310,530330,203202.47,93637.47,591631,30946,832260
SOF,INC,C,2020,USA,DE,363578,2230428,13500046,323949,3697113,639533,206789.38,18450.77,879782,8874.09,224556
FIN,INC,A1,2019,USA,DE,118657,4322844,6750275,93209,6614005,770060,168143.86,68123.93,776732,9166.53,269223
IND,LLC,Ba1,2020,USA,DE,733199,7420381,3796081,4029007,9278284,352587,67167.81,83409,877807,24551.45,808036
SOF,LLC,A1,2018,USA,DE,138226,3520132,4407690,744543,7673451,668401,6425.8,60983,105073,13507.9,832300
IND,LLC,C,2017,USA,DE,915519,204814,4501395,8410643,7580595,29694,100691.86,10890.89,934169,13972.82,519562
SOF,INC,A1,2018,USA,DE,2366581,734016,4463475,4838653,11390792,917372,168940.74,51166.61,708983,14975.39,708627
SOF,INC,C,2017,USA,DE,5033185,5816298,2174696,7733148,6345720,512888,42103.4,80592.9,941129,6350.24,942848
IND,INC,A1,2020,USA,DE,474051,481381,3218487,13523471,8714733,502650,59843.45,34327.25,843347,8069.74,281966
FIN,LLC,A1,2017,USA,DE,1810859,4748605,7386497,3129609,15808672,470104,57452.61,5904.94,318172,26170.19,922557
IND,INC,A1,2017,USA,DE,246605,1644786,6000581,8012446,16269081,1215439,171786.33,31890.74,724297,8691.83,744257
IND,INC,C,2017,USA,DE,1529855,3972957,3616384,8728658,9413115,102556,149005.78,46824.75,625122,26462.6,125767
FIN,INC,A1,2019,USA,DE,1096377,5193364,8960341,9351523,10286347,1213415,153166.57,136825.01,970062,5395.87,204547
IND,LLC,A1,2017,USA,DE,989128,1729791,3798208,11101769,8996319,24675,238408.6,24588.09,923864,28841.49,99774
IND,LLC,A1,2017,USA,DE,2604700,1489473,5720429,706767,1372379,930651,129338.96,99767.44,984734,8694.06,704200
FIN,INC,A1,2018,USA,DE,672407,352795,11126088,3587527,2511153,551156,151825.43,34927.89,570185,22359.09,324296
IND,LLC,A1,2019,USA,DE,460493,1297671,8051495,8478630,16239095,777715,190671.09,43363.51,696890,6179.41,940221
SOF,INC,C,2017,USA,DE,147542,440232,12177987,38723,13846475,1087803,55793.75,55741.1,896834,32180.33,946734
SOF,LLC,A1,2020,USA,DE,2317918,6370439,7389070,6938930,10724881,575506,225381.97,35403.25,978384,14581.01,926509
FIN,INC,Ba1,2018,USA,DE,2158449,3804866,8735628,8706468,8618007,31251,103837.8,123877.17,497785,49020.03,628662
SOF,INC,C,2018,USA,DE,169149,500316,3320049,2835342,5479620,226309,87079.31,26338.82,911920,7149.43,279191
SOF,INC,A1,2019,USA,DE,794955,3523274,8163453,1304587,9684829,723063,228559.05,7096.57,923111,34296.29,284496
SOF,INC,C,2017,USA,DE,1983046,208025,11228157,1110769,8464575,1190438,49351.5,59336.68,963257,26400.91,512095
FIN,INC,Ba1,2017,USA,DE,117060,2713258,2224476,15107,3158875,696392,116491.67,6862.34,984582,12427.16,939025
SOF,INC,A1,2020,USA,DE,257635,2378998,3706399,7339592,5088161,854056,75439.15,51130.12,996568,5880.68,744037
SOF,INC,Ba1,2018,USA,DE,119172,4925960,4004080,2877751,15074321,508613,243331.7,149285.13,991467,5467.39,510046
SOF,INC,A1,2017,USA,DE,595348,6872815,3829249,27082,6767367,589725,81976.65,52054.92,681517,5621.1,890005
SOF,INC,Ba1,2020,USA,DE,567829,880269,3034813,425619,10919685,153374,98917.77,26597.75,676581,37385.17,933719
IND,INC,Ba1,2017,USA,DE,684997,649524,12598255,11179935,11010225,181283,123616.13,11476.26,436517,9084.55,399519
FIN,LLC,Ba1,2017,USA,DE,1235433,4513406,8303849,1865448,8302839,308024,9507.22,14361.44,109834,9865.74,559332
FIN,INC,A1,2018,USA,DE,2520085,2267482,6304289,115623,9599492,524431,151151.05,112879.76,677052,20443.59,898312
SOF,LLC,A1,2017,USA,DE,507989,828038,6404038,3535588,9879400,1109737,7477.26,24661.61,997928,7221.63,907808
SOF,LLC,C,2018,USA,DE,1040807,2649496,3261845,1141538,6912720,1139809,245124.92,36287.87,990084,46489.63,552378
FIN,LLC,C,2017,USA,DE,2382938,5613904,4473095,586259,9338712,397936,171363.81,9707.66,517366,31105.76,949157
FIN,LLC,Ba1,2017,USA,DE,263376,3072789,4974796,1305144,8455773,563266,244580.99,4565.17,980263,46496.95,885680
IND,INC,C,2019,USA,DE,545985,1239540,9663297,2121216,8309314,739969,161230.06,34639.67,998315,5492.84,265865
IND,LLC,A1,2017,USA,DE,447322,650357,15561305,467009,432674,82024,71803.28,37705.66,614099,5110.06,337590
SOF,LLC,C,2017,USA,DE,1954885,3619737,613423,6742394,6377874,633175,123778.18,42272.98,867566,20555.78,334145
SOF,INC,C,2017,USA,DE,1077367,273228,1680120,1128582,9807169,855393,229068.33,9708.94,873137,49119.48,457828
FIN,LLC,Ba1,2017,USA,DE,228007,1816153,6329883,1322699,12173155,592257,153795.57,25558.03,620398,43459.98,784938
FIN,INC,C,2018,USA,DE,1335026,1630573,11271856,221131,11826679,365472,99185.49,30904.28,538823,5994.41,824116
IND,INC,Ba1,2017,USA,DE,398061,932888,7757762,4425896,9476711,150294,147370.27,71352.09,992435,38649.52,627578
IND,LLC,A1,2017,USA,DE,579835,2299016,4893846,16079,1670466,681534,170148.42,7926.03,961854,47087.28,185246
SOF,INC,A1,2018,USA,DE,1543341,2497023,6366900,652508,8815474,1147046,161195.46,61456.07,994731,10369.22,945239
FIN,INC,C,2018,USA,DE,816425,6175405,4767714,11193536,8603079,183643,47329.15,38932.32,991803,38713.33,890536
SOF,LLC,C,2020,USA,DE,1415716,664865,16678021,16306664,9468720,38650,132172.12,15317.39,444749,20073.15,764187
SOF,INC,A1,2019,USA,DE,1610040,9733940,1382724,1414736,8021516,631115,52908.72,41883.13,889447,29748.45,744142
SOF,LLC,Ba1,2018,USA,DE,931961,1104449,5316338,717973,6898705,269244,62180.98,54832.81,999013,43901.43,486830
